labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
17,33.8,0.159,32.9,34.1,35.8,2.89,358,604,87.3,89.1,0.362,0.645,0.147,0.339,0.543,0.396,5.35,3.34,4.02,2.38,0.128,0.855,20.7,0.765,6.2,2,8.54,1.83,-11.6,-1.31,0.0312,2.03,1.09,0.839,6.53,0.867,4.11,2.7,21.9,0.611,528,0.351,1190,0.197,-82.6,-1.1,1590,0.185,888,0.391,-85.2,-0.963,2640,0.101,802,0.583,-88,-0.907,-14.7,-0.643,23.8,0.422,0.0854,0.334,-0.0229,-0.672,0.166,0.672,27,0.479,6.29,1.93,10,1.74,-16.5,-0.928,-5.58,13.8,0.0318,-0.00813,0.0591,3.8,2.49,0.249,0.179,0.145,0.201,-38
17,29.3,0.227,21.8,32,33.7,11.9,366,530,108,113,2.25,0.589,1.05,2.12,3.31,2.26,34.5,20.3,24.4,14.3,2.27,0.77,21.9,0.727,5.6,2.49,17.3,0.844,-4.96,-2.64,0.0642,1.79,1.48,0.777,3.93,1.44,5.41,2.73,23.2,0.65,471,0.397,1140,0.209,-57.2,-1.52,1530,0.167,839,0.437,-67,-1.15,2550,0.102,823,0.481,-69.5,-1.09,-15.6,-0.528,24.3,0.371,0.0553,0.682,-0.0292,-0.475,2.62,0.659,28.1,0.419,7.31,1.78,18.8,0.81,-6.66,-2.06,-1.28,9.21,0.0184,-0.0131,1.32,4.19,2.42,0.293,0.272,0.114,0.149,-14.1
17,31,0.259,23,33.2,35.1,12.1,230,191,139,203,2.06,0.793,0.521,1.7,3.4,2.88,38.5,23.3,26.4,18.6,1.74,1.06,22.4,0.724,3.94,3.26,6.93,1.84,1.28,9.32,0.0479,2.05,1.13,0.968,5.54,1.16,5.29,3.12,22,0.661,511,0.372,1260,0.203,-79.6,-1.15,1520,0.169,1000,0.327,-83.3,-0.997,2540,0.0997,841,0.405,-86.7,-0.927,-15.4,-0.599,24.9,0.394,0.049,0.941,-0.0214,-0.607,2.3,0.849,29.9,0.461,5.53,2.31,6.01,2.39,1.13,11.9,-4,12.9,0.011,-0.00534,0.72,2.82,2.55,0.244,0.291,0.152,0.227,-13.5
17,33,0.173,32.4,33.9,35.6,3.18,360,539,75.4,79.3,2.41,0.812,0.857,1.91,3.62,2.76,38.7,24.3,30.8,22.2,2.23,1.07,18.4,0.835,7.63,1.88,14.9,1.15,-6.24,-2.67,0.0346,2.08,1.17,0.854,6.49,0.857,7.98,1.48,21.3,0.526,519,0.402,1190,0.231,-66.6,-1.27,1600,0.161,834,0.551,-70.3,-1.07,2690,0.108,871,0.694,-72.7,-1.01,-14.5,-0.601,23.4,0.444,0.0319,1.47,-0.0212,-0.639,2.71,0.928,23.7,0.548,8.65,1.58,16.7,1.08,-9.11,-1.94,-3.3,11.4,-0.0114,-0.00747,0.908,3.12,2.23,0.319,0.286,0.118,0.133,-12.4
17,28.6,0.282,19.8,32,33.6,13.9,363,512,211,424,1.55,0.718,0.556,1.36,2.38,1.82,25.2,15.8,18.5,13.1,1.24,0.967,17.1,0.896,5.04,2.7,8.74,1.6,-8.11,-1.74,0.0641,1.83,1.36,0.792,2.54,2.39,2.31,6.6,21,0.705,515,0.401,1200,0.206,-89.2,-1.05,1560,0.18,899,0.403,-94.1,-0.918,2620,0.102,845,0.581,-96.7,-0.869,-13.5,-0.671,22.9,0.438,0.0575,0.698,-0.0245,-0.668,1.54,0.794,25,0.49,7.62,1.76,9.47,1.63,-11.7,-1.3,-1.62,9.09,0.0229,-0.0087,0.826,3.1,2.99,0.184,0.196,0.145,0.194,-19.6
17,29.4,0.249,22,31.5,33.8,11.8,250,348,124,138,1.76,0.802,0.458,1.44,2.84,2.38,30.1,18.2,20.7,13.8,1.62,1.07,22,0.639,3.67,3.8,9.62,1.44,-9.44,-1.73,0.0545,1.92,1.36,0.767,3.31,1.91,2.09,6.82,21.6,0.567,504,0.353,1240,0.18,-63.8,-1.38,1560,0.158,942,0.477,-70.5,-1.13,2620,0.111,914,0.645,-74.4,-1.04,-14.1,-0.473,24.2,0.328,0.0475,0.917,-0.0282,-0.531,2.05,0.886,27.2,0.432,4.43,3.09,10.4,1.42,-12.8,-1.34,-3.82,12.1,-7.18E-05,-0.0128,0.6,3.15,2.68,0.254,0.253,0.112,0.141,-16
17,31.6,0.199,32.1,33.6,34.8,2.63,326,390,97.8,155,2.44,0.773,0.686,2.1,3.97,3.29,42.3,23.9,31.5,20.3,2.04,0.976,26.8,0.571,1.79,8.06,15.5,0.936,-6.49,-2.11,0.0382,2.32,1.13,0.929,6.64,0.919,3.83,3.81,20.3,0.618,520,0.414,1210,0.218,-51.1,-1.51,1540,0.184,925,0.362,-57.5,-1.2,2570,0.117,808,0.403,-60.9,-1.11,-15.8,-0.514,24.5,0.367,0.0288,1.59,-0.0225,-0.537,2.36,0.87,31.3,0.39,1.6,9.1,17.2,0.882,-8.84,-1.53,-4.4,13,-0.00434,-0.00624,0.824,3.24,2.17,0.356,0.396,0.0993,0.123,-12.1
17,31.8,0.212,31.9,33.4,34.9,3.03,413,598,174,386,2.44,0.631,0.974,2.29,3.69,2.71,37,21.8,27.1,17.8,2.45,0.988,21.8,0.778,12.3,1.04,10.4,1.35,-0.481,-24.1,0.0362,2.03,1.07,1.13,7.27,0.843,4.57,3.22,24.2,0.648,587,0.324,1270,0.194,-72.5,-1.15,1650,0.163,942,0.405,-78.8,-0.95,2700,0.0989,790,0.52,-82.1,-0.884,-19.4,-0.5,29.2,0.374,0.0318,1.17,-0.0296,-0.457,2.84,0.893,29,0.44,15.2,0.745,11.5,1.3,-0.106,-113,-3.1,10.7,0.000556,-0.0144,1.51,3.75,2.69,0.252,0.241,0.111,0.121,-9.97
17,29.1,0.249,21,31.6,33.9,12.9,351,554,175,363,1.74,0.722,0.613,1.51,2.7,2.09,37.4,27.6,28,20.5,1.88,1.01,24,0.571,5.1,2.58,16.5,0.814,-2.98,-4.42,0.0619,1.82,1.44,0.823,4.19,1.43,3.73,4.35,20.5,0.734,569,0.393,1190,0.223,-72.9,-1.16,1660,0.183,814,0.429,-78.1,-0.993,2730,0.1,713,0.476,-80.3,-0.945,-15.6,-0.582,24.7,0.398,0.036,1.05,-0.0196,-0.62,2.29,0.869,29.2,0.392,7.49,1.72,18.5,0.77,-4.93,-2.89,-4.68,12.7,0.00683,-0.00565,0.953,3.4,3.06,0.216,0.247,0.104,0.148,-15.4
17,33.8,0.181,32.1,34.5,37.2,5.18,323,432,160,340,0.464,0.794,0.128,0.385,0.743,0.615,7.94,5.42,5.49,3.95,0.209,1.13,19.9,0.7,3.82,3.7,7.11,2.07,-7.55,-2.19,0.038,2.1,1.21,0.779,5.59,1.02,6.24,2.61,20.6,0.715,495,0.399,1210,0.195,-98.7,-0.952,1520,0.182,911,0.393,-93,-0.926,2570,0.115,783,0.533,-96.4,-0.863,-12.9,-0.594,23.3,0.379,0.0726,0.52,-0.0177,-0.75,0.302,0.84,26.4,0.467,2.92,5.09,6.76,2.56,-14.6,-1.13,-6.84,15.2,0.00442,-0.00423,0.0742,2.9,2.07,0.275,0.359,0.202,0.264,-33.4
